"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the authenticated user can create a note and retrieve it","104","Verify Authenticated User Can Create And Retrieve A Note","Api","2026-07-13","passed","2026-07-13","Smoke.Verify Smoke Scenarios","Tests","",""
"Verify logging in with incorrect credentials returns 401","92","Verify Login With Incorrect Credentials Returns 401","Api","2026-07-13","passed","2026-07-13","Negative.Verify Error Responses","Tests","",""
"Verify a request to a non-existent endpoint returns 404","57","Verify Unknown Endpoint Returns 404 Not Found","Api","2026-07-13","passed","2026-07-13","Negative.Verify Error Responses","Tests","",""
"Verify the Notes API health check endpoint is up","44","Verify Notes API Health Check Returns Success","Api","2026-07-13","passed","2026-07-13","Smoke.Verify Smoke Scenarios","Tests","",""
"Verify the authenticated user can retrieve their own profile","92","Verify Authenticated User Can Retrieve Profile","Api","2026-07-13","passed","2026-07-13","Smoke.Verify Smoke Scenarios","Tests","",""
"Verify requesting a protected endpoint with a bogus auth token returns 401","192","Verify Request With Invalid Auth Token Returns 401","Api","2026-07-13","passed","2026-07-13","Negative.Verify Error Responses","Tests","",""
"Verify registering with an invalid email format returns 400.
This request never succeeds, so no account is ever created
and no cleanup is required.","66","Verify Registration With Invalid Email Returns 400 Validation Error","Api","2026-07-13","passed","2026-07-13","Negative.Verify Error Responses","Tests","",""
"Verify the authenticated user can update and then delete a note.
Creates its own note rather than reusing one from another test -
under pabot's --testlevelsplit each test runs as an isolated
suite, so a Suite Variable set by one test is never visible to
another.","188","Verify Authenticated User Can Update And Delete A Note","Api","2026-07-13","passed","2026-07-13","Smoke.Verify Smoke Scenarios","Tests","",""
"Verify requesting a protected endpoint with no auth token returns 401","90","Verify Request Without Auth Token Returns 401","Api","2026-07-13","passed","2026-07-13","Negative.Verify Error Responses","Tests","",""
"Verify the shared test user (registered once for the whole run
by Suite Setup) can log in and receive an auth token.","238","Verify New User Can Register And Login And Receive Auth Token","Api","2026-07-13","passed","2026-07-13","Smoke.Verify Smoke Scenarios","Tests","",""
"Verify the login page shows a logout confirmation message after logout","8147","Verify Logout Confirmation Message Is Displayed","Web","2026-07-13","passed","2026-07-13","Dashboard Suite.Dashboard Page Test","Tests","",""
"Verify the secure page renders after a successful login","10933","Verify Authenticated User Sees Secure Area Content","Web","2026-07-13","passed","2026-07-13","Dashboard Suite.Dashboard Page Test","Tests","",""
"Verify login fails with an invalid username","7809","Verify User Cannot Login With Invalid Username","Web","2026-07-13","passed","2026-07-13","Login Suite.Login Page Test","Tests","",""
"Verify user can successfully login with valid credentials","9975","Verify User Can Login With Valid Credentials","Web","2026-07-13","passed","2026-07-13","Login Suite.Login Page Test","Tests","",""
"","10085","Valid login","Web","2026-07-13","passed","2026-07-13","Login Suite.Login Data Driven Test","Tests","",""
"","8033","Invalid username","Web","2026-07-13","passed","2026-07-13","Login Suite.Login Data Driven Test","Tests","",""
"Verify navigating directly to /secure without logging in redirects to /login","7648","Verify Direct Navigation To Secure Page Without Login Redirects","Web","2026-07-13","passed","2026-07-13","Dashboard Suite.Dashboard Page Test","Tests","",""
"","11317","Empty username field","Web","2026-07-13","passed","2026-07-13","Login Suite.Login Data Driven Test","Tests","",""
"","8605","Invalid password","Web","2026-07-13","passed","2026-07-13","Login Suite.Login Data Driven Test","Tests","",""
"Verify logging out from the secure page redirects back to the login page","10011","Verify User Can Log Out From Secure Page","Web","2026-07-13","passed","2026-07-13","Dashboard Suite.Dashboard Page Test","Tests","",""
"Verify login page UI elements are displayed correctly","9019","Verify Login Page Loads Successfully","Web","2026-07-13","passed","2026-07-13","Login Suite.Login Page Test","Tests","",""
"Verify login fails with an incorrect password","8974","Verify User Cannot Login With Invalid Password","Web","2026-07-13","passed","2026-07-13","Login Suite.Login Page Test","Tests","",""
